divu: 1/1 = 1	divs: 1/1 = 1
modu: 1%1 = 0	mods: 1%1 = 0
divu: 32768/234 = 140	divs: -32768/234 = -140
modu: 32768%234 = 8	mods: -32768%234 = -8
divu: 234/32768 = 0	divs: 234/-32768 = 0
modu: 234%32768 = 234	mods: 234%-32768 = 234
divu: 32768/32768 = 1	divs: -32768/-32768 = 1
modu: 32768%32768 = 0	mods: -32768%-32768 = 0
divu: 28214/312 = 90	divs: 28214/312 = 90
modu: 28214%312 = 134	mods: 28214%312 = 134
divu: 63366/324 = 195	divs: -2170/324 = -6
modu: 63366%324 = 186	mods: -2170%324 = -226
divu: 24278/65287 = 0	divs: 24278/-249 = -97
modu: 24278%65287 = 24278	mods: 24278%-249 = 125
divu: 58406/65410 = 0	divs: -7130/-126 = 56
modu: 58406%65410 = 58406	mods: -7130%-126 = -74
divu: 51062/65461 = 0	divs: -14474/-75 = 192
modu: 51062%65461 = 51062	mods: -14474%-75 = -74
divu: 18630/161 = 115	divs: 18630/161 = 115
modu: 18630%161 = 115	mods: 18630%161 = 115
divu: 43030/65348 = 0	divs: -22506/-188 = 119
modu: 43030%65348 = 43030	mods: -22506%-188 = -134
divu: 9574/159 = 60	divs: 9574/159 = 60
modu: 9574%159 = 34	mods: 9574%159 = 34
divu: 182/434 = 0	divs: 182/434 = 0
modu: 182%434 = 182	mods: 182%434 = 182
divu: 31238/65406 = 0	divs: 31238/-130 = -240
modu: 31238%65406 = 31238	mods: 31238%-130 = 38
divu: 53590/65281 = 0	divs: -11946/-255 = 46
modu: 53590%65281 = 53590	mods: -11946%-255 = -216
divu: 18086/316 = 57	divs: 18086/316 = 57
modu: 18086%316 = 74	mods: 18086%316 = 74
divu: 6646/65327 = 0	divs: 6646/-209 = -31
modu: 6646%65327 = 6646	mods: 6646%-209 = 167
divu: 35654/475 = 75	divs: -29882/475 = -62
modu: 35654%475 = 29	mods: -29882%475 = -432
divu: 55958/65086 = 0	divs: -9578/-450 = 21
modu: 55958%65086 = 55958	mods: -9578%-450 = -128
divu: 18406/345 = 53	divs: 18406/345 = 53
modu: 18406%345 = 121	mods: 18406%345 = 121
divu: 4918/44 = 111	divs: 4918/44 = 111
modu: 4918%44 = 34	mods: 4918%44 = 34
divu: 31878/65464 = 0	divs: 31878/-72 = -442
modu: 31878%65464 = 31878	mods: 31878%-72 = 54
divu: 50134/251 = 199	divs: -15402/251 = -61
modu: 50134%251 = 185	mods: -15402%251 = -91
divu: 10534/246 = 42	divs: 10534/246 = 42
modu: 10534%246 = 202	mods: 10534%246 = 202
divu: 60534/169 = 358	divs: -5002/169 = -29
modu: 60534%169 = 32	mods: -5002%169 = -101
divu: 19910/277 = 71	divs: 19910/277 = 71
modu: 19910%277 = 243	mods: 19910%277 = 243
divu: 36118/65336 = 0	divs: -29418/-200 = 147
modu: 36118%65336 = 36118	mods: -29418%-200 = -18
divu: 60006/19 = 3158	divs: -5530/19 = -291
modu: 60006%19 = 4	mods: -5530%19 = -1
divu: 42422/166 = 255	divs: -23114/166 = -139
modu: 42422%166 = 92	mods: -23114%166 = -40
divu: 65286/498 = 131	divs: -250/498 = 0
modu: 65286%498 = 48	mods: -250%498 = -250
divu: 13910/245 = 56	divs: 13910/245 = 56
modu: 13910%245 = 190	mods: 13910%245 = 190
divu: 35750/65200 = 0	divs: -29786/-336 = 88
modu: 35750%65200 = 35750	mods: -29786%-336 = -218
divu: 16118/35 = 460	divs: 16118/35 = 460
modu: 16118%35 = 18	mods: 16118%35 = 18
divu: 36934/65103 = 0	divs: -28602/-433 = 66
modu: 36934%65103 = 36934	mods: -28602%-433 = -24
divu: 49046/65074 = 0	divs: -16490/-462 = 35
modu: 49046%65074 = 49046	mods: -16490%-462 = -320
